=== JOY OVERRIDE START INJECTION TEST ===
Rom: zelda_v540
Start injection frame: 900
Max frames: 2000

Frame | Script | Sub | PPULoad | Slot | PPUCtrl | PPUMask | VRAMAddr | Ready | Notes
 920 |      1 |   2 |      18 |    0 | 0xB0 | 0x00 | 0x2000 |     0 | [GAME RUNNING]
 921 |      1 |   2 |      18 |    0 | 0xB0 | 0x00 | 0x2000 |     0 | [GAME RUNNING]
 922 |      1 |   2 |      18 |    0 | 0xB0 | 0x00 | 0x2800 |     0 | [GAME RUNNING]
 923 |      1 |   2 |      18 |    0 | 0xB0 | 0x00 | 0x2800 |     0 | [GAME RUNNING]
 924 |      1 |   2 |      18 |    0 | 0xB0 | 0x00 | 0x2800 |     0 | [GAME RUNNING]
 925 |      1 |   2 |      18 |    0 | 0xB0 | 0x00 | 0x2800 |     0 | [GAME RUNNING]
 926 |      1 |   2 |      18 |    0 | 0xB0 | 0x00 | 0x2AC0 |     0 | [GAME RUNNING]
 927 |      1 |   3 |      20 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | [GAME RUNNING]
 928 |      1 |   3 |      20 |    0 | 0xB0 | 0x00 | 0x2324 |     0 | [GAME RUNNING]
 929 |      1 |   5 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | [GAME RUNNING]
 930 |      1 |   6 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | [GAME RUNNING]
 931 |      1 |   0 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | 
 932 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 933 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 934 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 935 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 936 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 937 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 938 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 939 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 940 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 941 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 942 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 943 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 944 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 945 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 946 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 947 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 948 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 949 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 950 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 960 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 970 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 980 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 990 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1000 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1010 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1020 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1030 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1040 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1050 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1060 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1070 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1080 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1090 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1100 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1110 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
1120 |      1 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
