frame,system,rom_label,pc,screen_ready,ram_script,ram_subscript,ppu_load_index,cur_save_slot,ram_004D,ram_next_script,ram_041F,ram_0421,ram_0423,ram_0000,ram_0001,ram_0002,ram_0003,ram_0004,ram_0005,spr_index_1,spr_index_2,trace_last,PPU_REQ_INDEX,PPU_REQ_PTR,PPU_REQ_RES,SEQ_EVT_COUNT,PPU_EVT_COUNT,ppu_buf_00,ppu_buf_01,ppu_buf_02,ppu_buf_03,ppu_buf_04,ppu_buf_05,ppu_buf_06,ppu_buf_07,ppu_buf_08,ppu_buf_09,ppu_buf_0A,ppu_buf_0B,ppu_buf_0C,ppu_buf_0D,ppu_buf_0E,ppu_buf_0F,ppu_buf_10,ppu_buf_11,ppu_buf_12,ppu_buf_13,ppu_buf_14,ppu_buf_15,ppu_buf_16,ppu_buf_17,ppu_buf_18,ppu_buf_19,ppu_buf_1A,ppu_buf_1B,ppu_buf_1C,ppu_buf_1D,ppu_buf_1E,ppu_buf_1F,oam_00,oam_01,oam_02,oam_03,oam_04,oam_05,oam_06,oam_07,oam_08,oam_09,oam_0A,oam_0B,oam_0C,oam_0D,oam_0E,oam_0F
0,nes,current_nes,FF66,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,,,,,,,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF
39,nes,current_nes,E45B,01,00,00,00,00,00,00,01,DC,C0,34,90,3B,90,02,CA,00,00,,,,,,,3F,00,FF,04,04,36,17,37,0F,FF,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,77,CA,C2,D0,77,CC,C2,C8,77,CA,82,28,77,CC,82,30
40,nes,current_nes,E45B,01,00,00,00,00,00,00,01,DE,C0,34,90,3B,90,02,CC,00,00,,,,,,,3F,00,FF,04,04,36,17,37,0F,FF,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,77,CA,C2,D0,77,CC,C2,C8,77,CA,82,28,77,CC,82,30
41,nes,current_nes,E45B,01,00,00,00,00,00,00,01,E0,C0,34,90,3B,90,02,CE,00,00,,,,,,,3F,00,FF,04,04,36,17,37,0F,FF,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,77,CA,C2,D0,77,CC,C2,C8,77,CA,82,28,77,CC,82,30
42,nes,current_nes,E45B,01,00,00,00,00,00,00,01,E2,C0,34,90,3B,90,02,D0,00,00,,,,,,,3F,00,3F,04,04,36,17,37,0F,FF,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,77,CA,C2,D0,77,CC,C2,C8,77,CA,82,28,77,CC,82,30
43,nes,current_nes,E45B,01,00,00,00,00,00,00,01,B2,C0,34,90,3B,90,02,D2,00,00,,,,,,,3F,00,FF,04,04,36,17,37,0F,FF,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,77,CA,C2,D0,77,CC,C2,C8,77,CA,82,28,77,CC,82,30
44,nes,current_nes,E45B,01,00,00,00,00,00,00,01,B4,C0,34,90,3B,90,02,D4,00,00,,,,,,,3F,00,FF,04,04,36,17,37,0F,FF,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,77,CA,C2,D0,77,CC,C2,C8,77,CA,82,28,77,CC,82,30
45,nes,current_nes,E45B,01,00,00,00,00,00,00,01,B6,C0,34,90,3B,90,02,D6,00,00,,,,,,,3F,00,FF,04,04,36,17,37,0F,FF,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,77,CA,C2,D0,77,CC,C2,C8,77,CA,82,28,77,CC,82,30
46,nes,current_nes,E45B,01,00,00,00,00,00,00,01,B8,C0,34,90,3B,90,02,D8,00,00,,,,,,,3F,00,FF,04,04,36,17,37,0F,FF,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,77,CA,C2,D0,77,CC,C2,C8,77,CA,82,28,77,CC,82,30
47,nes,current_nes,E45B,01,00,00,00,00,00,00,01,BA,C0,34,90,3B,90,02,DA,00,00,,,,,,,3F,00,FF,04,04,36,17,37,0F,FF,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,77,CA,C2,D0,77,CC,C2,C8,77,CA,82,28,77,CC,82,30
48,nes,current_nes,E45B,01,00,00,00,00,00,00,01,BC,C0,34,90,3B,90,02,DC,00,00,,,,,,,3F,00,3F,04,04,36,17,27,0F,FF,17,27,0F,36,08,1A,28,36,30,3B,22,36,30,3B,16,36,17,27,0F,36,08,1A,77,CA,C2,D0,77,CC,C2,C8,77,CA,82,28,77,CC,82,30
