frame,pc,trace_last,trace_seq,addr,tile_index,byte_in_tile,value,vram_addr_curr,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,d0,d1,d2,d3,d4,a0,a1
125,000C86,0403,0258,FFCE30,00E3,0,24,0E30,00,FF,00,20,36,0F,00,00000424,00000028,0000000E,00000E30,00010E30,00FFC000,000184F8
125,000C86,0403,0258,FFCE31,00E3,1,24,0E31,00,FF,00,20,36,0F,00,00000424,00000027,0000000E,00000E31,00010E31,00FFC000,000184F9
125,000C86,0403,0258,FFCE32,00E3,2,E3,0E32,00,FF,00,20,36,0F,00,000004E3,00000026,0000000E,00000E32,00010E32,00FFC000,000184FA
125,000C86,0403,0258,FFCE33,00E3,3,24,0E33,00,FF,00,20,36,0F,00,00000424,00000025,0000000E,00000E33,00010E33,00FFC000,000184FB
125,000C86,0403,0258,FFCE34,00E3,4,24,0E34,00,FF,00,20,36,0F,00,00000424,00000024,0000000E,00000E34,00010E34,00FFC000,000184FC
125,000C86,0403,0258,FFCE35,00E3,5,24,0E35,00,FF,00,20,36,0F,00,00000424,00000023,0000000E,00000E35,00010E35,00FFC000,000184FD
125,000C86,0403,0258,FFCE36,00E3,6,24,0E36,00,FF,00,20,36,0F,00,00000424,00000022,0000000E,00000E36,00010E36,00FFC000,000184FE
125,000C86,0403,0258,FFCE37,00E3,7,24,0E37,00,FF,00,20,36,0F,00,00000424,00000021,0000000E,00000E37,00010E37,00FFC000,000184FF
125,000C86,0403,0258,FFCE38,00E3,8,24,0E38,00,FF,00,20,36,0F,00,00000424,00000020,0000000E,00000E38,00010E38,00FFC000,00018500
125,000C86,0403,0258,FFCE39,00E3,9,24,0E39,00,FF,00,20,36,0F,00,00000424,0000001F,0000000E,00000E39,00010E39,00FFC000,00018501
125,000C86,0403,0258,FFCE3A,00E3,10,24,0E3A,00,FF,00,20,36,0F,00,00000424,0000001E,0000000E,00000E3A,00010E3A,00FFC000,00018502
125,000C86,0403,0258,FFCE3B,00E3,11,24,0E3B,00,FF,00,20,36,0F,00,00000424,0000001D,0000000E,00000E3B,00010E3B,00FFC000,00018503
125,000C86,0403,0258,FFCE3C,00E3,12,24,0E3C,00,FF,00,20,36,0F,00,00000424,0000001C,0000000E,00000E3C,00010E3C,00FFC000,00018504
125,000C86,0403,0258,FFCE3D,00E3,13,24,0E3D,00,FF,00,20,36,0F,00,00000424,0000001B,0000000E,00000E3D,00010E3D,00FFC000,00018505
125,000C86,0403,0258,FFCE3E,00E3,14,24,0E3E,00,FF,00,20,36,0F,00,00000424,0000001A,0000000E,00000E3E,00010E3E,00FFC000,00018506
125,000C86,0403,0258,FFCE3F,00E3,15,24,0E3F,00,FF,00,20,36,0F,00,00000424,00000019,0000000E,00000E3F,00010E3F,00FFC000,00018507
127,000C86,0403,026E,FFCE12,00E1,2,00,0E12,00,FF,00,20,36,0F,00,00000400,00000034,0000000E,00000E12,00010E12,00FFC000,00018749
127,000C86,0403,026E,FFCE13,00E1,3,0E,0E13,00,FF,00,20,36,0F,00,0000040E,00000033,0000000E,00000E13,00010E13,00FFC000,0001874A
127,000C86,0403,026E,FFCE14,00E1,4,10,0E14,00,FF,00,20,36,0F,00,00000410,00000032,0000000E,00000E14,00010E14,00FFC000,0001874B
127,000C86,0403,026E,FFCE15,00E1,5,39,0E15,00,FF,00,20,36,0F,00,00000439,00000031,0000000E,00000E15,00010E15,00FFC000,0001874C
127,000C86,0403,026E,FFCE16,00E1,6,00,0E16,00,FF,00,20,36,0F,00,00000400,00000030,0000000E,00000E16,00010E16,00FFC000,0001874D
127,000C86,0403,026E,FFCE17,00E1,7,FF,0E17,00,FF,00,20,36,0F,00,000004FF,0000002F,0000000E,00000E17,00010E17,00FFC000,0001874E
127,000C86,0403,026E,FFCE18,00E1,8,06,0E18,00,FF,00,20,36,0F,00,00000406,0000002E,0000000E,00000E18,00010E18,00FFC000,0001874F
127,000C86,0403,026E,FFCE19,00E1,9,58,0E19,00,FF,00,20,36,0F,00,00000458,0000002D,0000000E,00000E19,00010E19,00FFC000,00018750
127,000C86,0403,026E,FFCE1A,00E1,10,14,0E1A,00,FF,00,20,36,0F,00,00000414,0000002C,0000000E,00000E1A,00010E1A,00FFC000,00018751
127,000C86,0403,026E,FFCE1B,00E1,11,3C,0E1B,00,FF,00,20,36,0F,00,0000043C,0000002B,0000000E,00000E1B,00010E1B,00FFC000,00018752
127,000C86,0403,026E,FFCE1C,00E1,12,00,0E1C,00,FF,00,20,36,0F,00,00000400,0000002A,0000000E,00000E1C,00010E1C,00FFC000,00018753
127,000C86,0403,026E,FFCE1D,00E1,13,27,0E1D,00,FF,00,20,36,0F,00,00000427,00000029,0000000E,00000E1D,00010E1D,00FFC000,00018754
127,000C86,0403,026E,FFCE1E,00E1,14,13,0E1E,00,FF,00,20,36,0F,00,00000413,00000028,0000000E,00000E1E,00010E1E,00FFC000,00018755
127,000C86,0403,026E,FFCE1F,00E1,15,C2,0E1F,00,FF,00,20,36,0F,00,000004C2,00000027,0000000E,00000E1F,00010E1F,00FFC000,00018756
127,000C86,0403,026E,FFCE20,00E2,0,00,0E20,00,FF,00,20,36,0F,00,00000400,00000026,0000000E,00000E20,00010E20,00FFC000,00018757
127,000C86,0403,026E,FFCE21,00E2,1,FF,0E21,00,FF,00,20,36,0F,00,000004FF,00000025,0000000E,00000E21,00010E21,00FFC000,00018758
127,000C86,0403,026E,FFCE22,00E2,2,00,0E22,00,FF,00,20,36,0F,00,00000400,00000024,0000000E,00000E22,00010E22,00FFC000,00018759
127,000C86,0403,026E,FFCE23,00E2,3,00,0E23,00,FF,00,20,36,0F,00,00000400,00000023,0000000E,00000E23,00010E23,00FFC000,0001875A
127,000C86,0403,026E,FFCE24,00E2,4,61,0E24,00,FF,00,20,36,0F,00,00000461,00000022,0000000E,00000E24,00010E24,00FFC000,0001875B
127,000C86,0403,026E,FFCE25,00E2,5,26,0E25,00,FF,00,20,36,0F,00,00000426,00000021,0000000E,00000E25,00010E25,00FFC000,0001875C
127,000C86,0403,026E,FFCE26,00E2,6,14,0E26,00,FF,00,20,36,0F,00,00000414,00000020,0000000E,00000E26,00010E26,00FFC000,0001875D
127,000C86,0403,026E,FFCE27,00E2,7,3C,0E27,00,FF,00,20,36,0F,00,0000043C,0000001F,0000000E,00000E27,00010E27,00FFC000,0001875E
127,000C86,0403,026E,FFCE28,00E2,8,00,0E28,00,FF,00,20,36,0F,00,00000400,0000001E,0000000E,00000E28,00010E28,00FFC000,0001875F
127,000C86,0403,026E,FFCE29,00E2,9,02,0E29,00,FF,00,20,36,0F,00,00000402,0000001D,0000000E,00000E29,00010E29,00FFC000,00018760
127,000C86,0403,026E,FFCE2A,00E2,10,12,0E2A,00,FF,00,20,36,0F,00,00000412,0000001C,0000000E,00000E2A,00010E2A,00FFC000,00018761
127,000C86,0403,026E,FFCE2B,00E2,11,39,0E2B,00,FF,00,20,36,0F,00,00000439,0000001B,0000000E,00000E2B,00010E2B,00FFC000,00018762
127,000C86,0403,026E,FFCE2C,00E2,12,00,0E2C,00,FF,00,20,36,0F,00,00000400,0000001A,0000000E,00000E2C,00010E2C,00FFC000,00018763
127,000C86,0403,026E,FFCE2D,00E2,13,FF,0E2D,00,FF,00,20,36,0F,00,000004FF,00000019,0000000E,00000E2D,00010E2D,00FFC000,00018764
127,000C86,0403,026E,FFCE2E,00E2,14,00,0E2E,00,FF,00,20,36,0F,00,00000400,00000018,0000000E,00000E2E,00010E2E,00FFC000,00018765
127,000C86,0403,026E,FFCE2F,00E2,15,00,0E2F,00,FF,00,20,36,0F,00,00000400,00000017,0000000E,00000E2F,00010E2F,00FFC000,00018766
127,000C86,0403,026E,FFCE30,00E3,0,20,0E30,00,FF,00,20,36,0F,00,00000420,00000016,0000000E,00000E30,00010E30,00FFC000,00018767
127,000C86,0403,026E,FFCE31,00E3,1,7C,0E31,00,FF,00,20,36,0F,00,0000047C,00000015,0000000E,00000E31,00010E31,00FFC000,00018768
127,000C86,0403,026E,FFCE32,00E3,2,00,0E32,00,FF,00,20,36,0F,00,00000400,00000014,0000000E,00000E32,00010E32,00FFC000,00018769
127,000C86,0403,026E,FFCE33,00E3,3,FF,0E33,00,FF,00,20,36,0F,00,000004FF,00000013,0000000E,00000E33,00010E33,00FFC000,0001876A
