frame,system,rom_label,pc,ram_0000_t49,ram_0002_t17,ram_0003_t18,ram_0004_t18,game_mode,screen_ready,ram_script,ram_subscript,ppu_load_index,ram_frm_cnt,cur_save_slot,rendering_flag,ram_004D,ram_next_script,ram_005C,se_ptr_lo,se_ptr_hi,ram_006C_se,ram_00F6,btn_press,btn_hold,scroll_y,scroll_x,ram_for_2001,ram_for_2000,ram_0415,ram_041A,ram_041F,ram_0421,ram_0423,spr_index_1,spr_index_2,ram_042D,ram_042E,ram_0528,ram_05F1,ram_05F4,ram_05F5,ram_music,ram_music_busy,ram_060A,ram_060B,ram_060C,ram_060D,ram_0611,ram_0612,ram_0613,ram_0616,ram_0617,ram_0619,ram_061B,ppu_buf_status,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,ppu_buf_6,ppu_buf_7,trace_last,trace_seq,PPU_REQ_INDEX,PPU_REQ_PTR,PPU_REQ_RES,SEQ_EVT_COUNT,PPU_EVT_COUNT
48,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,7A,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1AD4,0000,0302,00000000,0700,0000
49,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,7B,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1AE7,0000,0302,00000000,0700,0000
50,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,7C,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1AFA,0000,0302,00000000,0700,0000
51,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,7D,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1B0D,0000,0302,00000000,0700,0000
52,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,7E,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1B20,0000,0302,00000000,0700,0000
53,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,7F,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1B33,0000,0302,00000000,0700,0000
54,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,80,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1B46,0000,0302,00000000,0700,0000
55,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,81,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1B59,0000,0302,00000000,0700,0000
56,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,82,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1B6C,0000,0302,00000000,0700,0000
57,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,83,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1B7F,0000,0302,00000000,0700,0000
58,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,84,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1B92,0000,0302,00000000,0700,0000
59,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,85,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1BA5,0000,0302,00000000,0700,0000
60,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,86,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1BB8,0000,0302,00000000,0700,0000
61,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,87,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1BCB,0000,0302,00000000,0700,0000
