=== ROOM WRITE TRACE zelda_v389 ===
Frames observed: 850..1700
Final script=5 sub=0 ready=1 map=00 next=00

Region summaries:
6530 total=44 nonzero=37 unique=44 first_frame=1265 last_frame=1265
687E total=128 nonzero=8 unique=128 first_frame=887 last_frame=887
68FE total=128 nonzero=42 unique=128 first_frame=887 last_frame=887
697E total=128 nonzero=28 unique=128 first_frame=887 last_frame=888
69FE total=128 nonzero=9 unique=128 first_frame=888 last_frame=888
6A7E total=128 nonzero=0 unique=128 first_frame=888 last_frame=888
6AFE total=128 nonzero=0 unique=128 first_frame=888 last_frame=888

First events:
frame,region,addr,value,pc,script,sub,ready,map,next
887,687E,FF68D5,00,018626,2,0,0,00,00
887,687E,FF68D6,00,018626,2,0,0,00,00
887,687E,FF68D7,00,018626,2,0,0,00,00
887,687E,FF68D8,00,018626,2,0,0,00,00
887,687E,FF68D9,00,018626,2,0,0,00,00
887,687E,FF68DA,6C,018626,2,0,0,00,00
887,687E,FF68DB,00,018626,2,0,0,00,00
887,687E,FF68DC,00,018626,2,0,0,00,00
887,687E,FF68DD,00,018626,2,0,0,00,00
887,687E,FF68DE,00,018626,2,0,0,00,00
887,687E,FF68DF,00,018626,2,0,0,00,00
887,687E,FF68E0,00,018626,2,0,0,00,00
887,687E,FF68E1,6C,018626,2,0,0,00,00
887,687E,FF68E2,00,018626,2,0,0,00,00
887,687E,FF68E3,00,018626,2,0,0,00,00
887,687E,FF68E4,00,018626,2,0,0,00,00
887,687E,FF68E5,00,018626,2,0,0,00,00
887,687E,FF68E6,00,018626,2,0,0,00,00
887,687E,FF68E7,00,018626,2,0,0,00,00
887,687E,FF68E8,00,018626,2,0,0,00,00
887,687E,FF68E9,00,018626,2,0,0,00,00
887,687E,FF68EA,00,018626,2,0,0,00,00
887,687E,FF68EB,00,018626,2,0,0,00,00
887,687E,FF68EC,00,018626,2,0,0,00,00
887,687E,FF68ED,00,018626,2,0,0,00,00
887,687E,FF68EE,00,018626,2,0,0,00,00
887,687E,FF68EF,00,018626,2,0,0,00,00
887,687E,FF68F0,00,018626,2,0,0,00,00
887,687E,FF68F1,00,018626,2,0,0,00,00
887,687E,FF68F2,00,018626,2,0,0,00,00
887,687E,FF68F3,00,018626,2,0,0,00,00
887,687E,FF68F4,00,018626,2,0,0,00,00
887,687E,FF68F5,00,018626,2,0,0,00,00
