frame,system,rom_label,pc,ram_0000_t49,ram_0002_t17,ram_0003_t18,ram_0004_t18,game_mode,screen_ready,ram_script,ram_subscript,ppu_load_index,ram_frm_cnt,cur_save_slot,rendering_flag,ram_004D,ram_next_script,ram_005C,se_ptr_lo,se_ptr_hi,ram_006C_se,ram_00F6,btn_press,btn_hold,scroll_y,scroll_x,ram_for_2001,ram_for_2000,ram_0415,ram_041A,ram_041F,ram_0421,ram_0423,spr_index_1,spr_index_2,ram_042D,ram_042E,ram_0528,ram_05F1,ram_05F4,ram_05F5,ram_music,ram_music_busy,ram_060A,ram_060B,ram_060C,ram_060D,ram_0611,ram_0612,ram_0613,ram_0616,ram_0617,ram_0619,ram_061B,ppu_buf_status,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,ppu_buf_6,ppu_buf_7
29,nes,current_nes,E45D,28,00,94,02,00,00,00,00,00,04,00,00,00,00,00,00,00,00,A5,00,00,00,00,00,B0,00,00,00,00,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,3F,00,FF,00,00,00,00,00,00,00
30,nes,current_nes,E45B,0D,12,95,02,00,00,00,00,00,05,00,00,00,00,00,00,00,00,A5,00,00,00,00,00,B0,00,00,00,00,00,00,00,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,23,23,3F,00,20,36,0F,00,10,36
31,nes,current_nes,E45D,0D,45,95,02,00,01,00,00,10,06,00,00,00,00,00,00,00,00,A5,00,00,00,00,00,B0,00,00,00,00,00,00,00,00,00,00,00,00,00,80,00,00,00,00,00,00,00,00,00,00,00,00,3F,00,FF,00,20,36,0F,00,10,36
32,nes,current_nes,E45C,34,3B,90,02,00,01,00,00,00,07,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,00,B0,00,01,01,CA,C0,00,00,00,00,00,01,20,4F,00,80,02,1F,3D,50,50,1F,05,28,50,80,01,3F,00,3F,04,04,36,17,27,0F,FF
33,nes,current_nes,E45D,34,3B,90,02,00,01,00,00,00,08,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,01,01,CC,C0,00,00,00,00,00,01,20,4F,00,80,02,1F,3D,50,4F,1E,04,27,4F,80,02,3F,00,FF,04,04,36,17,27,0F,FF
34,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,09,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,02,01,CE,C0,00,00,00,00,00,01,20,4F,00,80,02,1F,3D,50,4E,1D,03,26,4E,80,03,3F,00,FF,04,04,36,17,27,0F,FF
35,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,0A,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,02,01,D0,C0,00,00,00,00,00,01,20,4F,00,80,02,1F,3D,50,4D,1C,02,25,4D,80,04,3F,00,FF,04,04,36,17,27,0F,FF
36,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,0B,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,03,01,D2,C0,00,00,00,00,00,01,20,4F,00,80,02,1F,3D,50,4C,1B,01,24,4C,80,05,3F,00,FF,04,04,36,17,27,0F,FF
37,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,0C,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,03,01,D4,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,4B,1A,50,23,4B,80,06,3F,00,FF,04,04,36,17,27,0F,FF
38,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,0D,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,04,01,D6,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,4A,19,4F,22,4A,80,07,3F,00,3F,04,04,36,17,37,0F,FF
39,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,0E,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,04,01,D8,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,49,18,4E,21,49,80,08,3F,00,FF,04,04,36,17,37,0F,FF
40,nes,current_nes,E45C,34,3B,90,02,00,01,00,00,00,0F,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,05,01,DA,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,48,17,4D,20,48,80,09,3F,00,FF,04,04,36,17,37,0F,FF
41,nes,current_nes,E45D,34,3B,90,02,00,01,00,00,00,10,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,05,01,DC,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,47,16,4C,1F,47,80,0A,3F,00,FF,04,04,36,17,37,0F,FF
42,nes,current_nes,E45C,34,3B,90,02,00,01,00,00,00,11,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,06,01,DE,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,46,15,4B,1E,46,80,0B,3F,00,FF,04,04,36,17,37,0F,FF
43,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,12,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,06,01,E0,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,45,14,4A,1D,45,80,0C,3F,00,FF,04,04,36,17,37,0F,FF
44,nes,current_nes,E45C,34,3B,90,02,00,01,00,00,00,13,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,07,01,E2,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,44,13,49,1C,44,80,0D,3F,00,3F,04,04,36,17,37,0F,FF
45,nes,current_nes,E45C,34,3B,90,02,00,01,00,00,00,14,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,07,01,B2,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,43,12,48,1B,43,80,0E,3F,00,FF,04,04,36,17,37,0F,FF
46,nes,current_nes,E45C,34,3B,90,02,00,01,00,00,00,15,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,08,01,B4,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,42,11,47,1A,42,80,0F,3F,00,FF,04,04,36,17,37,0F,FF
47,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,16,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,08,01,B6,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,41,10,46,19,41,80,10,3F,00,FF,04,04,36,17,37,0F,FF
48,nes,current_nes,E45D,34,3B,90,02,00,01,00,00,00,17,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,09,01,B8,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,40,0F,45,18,40,80,11,3F,00,FF,04,04,36,17,37,0F,FF
49,nes,current_nes,E45C,34,3B,90,02,00,01,00,00,00,18,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,09,01,BA,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,3F,0E,44,17,3F,80,12,3F,00,FF,04,04,36,17,37,0F,FF
50,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,19,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,0A,01,BC,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,3E,0D,43,16,3E,80,13,3F,00,3F,04,04,36,17,27,0F,FF
51,nes,current_nes,E45B,34,3B,90,02,00,01,00,00,00,1A,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,0A,01,BE,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,3D,0C,42,15,3D,80,14,3F,00,FF,04,04,36,17,27,0F,FF
52,nes,current_nes,E45C,34,3B,90,02,00,01,00,00,00,1B,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,0B,01,C0,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,3C,0B,41,14,3C,80,15,3F,00,FF,04,04,36,17,27,0F,FF
53,nes,current_nes,E45C,34,3B,90,02,00,01,00,00,00,1C,00,00,00,00,00,8B,94,1A,A5,00,00,00,00,1E,B0,00,0B,01,C2,C0,00,00,00,00,00,01,20,4F,00,80,02,21,3D,50,3B,0A,40,13,3B,80,16,3F,00,FF,04,04,36,17,27,0F,FF
