frame,system,rom_label,kind,total_count,ordinal,event_id,event_name,arg0,arg1,arg2,seq_ptr_raw,ptr_res,seq_index,seq_byte,seq_source,ppu_index,ppu_ptr_raw,ppu_ptr_res
233,genesis,zelda_v540,ppu,75,74,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
233,genesis,zelda_v540,ppu,75,75,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
234,genesis,zelda_v540,ppu,77,76,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
234,genesis,zelda_v540,ppu,77,77,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
235,genesis,zelda_v540,ppu,79,78,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
235,genesis,zelda_v540,ppu,79,79,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
236,genesis,zelda_v540,ppu,81,80,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
236,genesis,zelda_v540,ppu,81,81,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
237,genesis,zelda_v540,ppu,83,82,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
237,genesis,zelda_v540,ppu,83,83,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
238,genesis,zelda_v540,ppu,85,84,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
238,genesis,zelda_v540,ppu,85,85,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
239,genesis,zelda_v540,ppu,87,86,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
239,genesis,zelda_v540,ppu,87,87,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
240,genesis,zelda_v540,ppu,89,88,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
240,genesis,zelda_v540,ppu,89,89,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
241,genesis,zelda_v540,ppu,91,90,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
