=== SCRIPT3+ DIAGNOSTICS zelda_v395 ===
Addresses: ready=FF0011 script=FF0012 sub=FF0013 ppu_idx=FF0014 007C=FF007C timer=FF0028
Handler: ready=0 -> PRIMARY; ready!=0 -> SECONDARY

Frame | Scr | Sub | Ready | PpuIdx | 007C | 007D | Rendr | Timer | Trace  | PC     | Crash           | Notes
 1320 |   3 |   0 |     1 | 0x00   |    5 |   28 |     0 |     5 | 0x0203 | 000916 | 0000/0000/00000000 | 007C 6->5
 1321 |   3 |   0 |     1 | 0x00   |    5 |   28 |     0 |     4 | 0x0203 | 00090E | 0000/0000/00000000 | 
 1322 |   3 |   0 |     1 | 0x00   |    5 |   28 |     0 |     3 | 0x0203 | 0012C4 | 0000/0000/00000000 | 
 1323 |   3 |   0 |     1 | 0x00   |    5 |   28 |     0 |     2 | 0x0203 | 000C18 | 0000/0000/00000000 | 
 1324 |   3 |   0 |     1 | 0x00   |    5 |   28 |     0 |     1 | 0x0203 | 0008E0 | 0000/0000/00000000 | 
 1325 |   3 |   0 |     1 | 0x00   |    4 |   29 |     0 |     5 | 0x0203 | 0008E0 | 0000/0000/00000000 | 007C 5->4
 1326 |   3 |   0 |     1 | 0x00   |    4 |   29 |     0 |     4 | 0x0203 | 000B84 | 0000/0000/00000000 | 
 1327 |   3 |   0 |     1 | 0x00   |    4 |   29 |     0 |     3 | 0x0203 | 000900 | 0000/0000/00000000 | 
 1328 |   3 |   0 |     1 | 0x00   |    4 |   29 |     0 |     2 | 0x0203 | 0008F8 | 0000/0000/00000000 | 
 1329 |   3 |   0 |     1 | 0x00   |    4 |   29 |     0 |     1 | 0x0203 | 000904 | 0000/0000/00000000 | 
 1330 |   3 |   0 |     1 | 0x00   |    3 |   30 |     0 |     5 | 0x0203 | 000916 | 0000/0000/00000000 | 007C 4->3
 1331 |   3 |   0 |     1 | 0x00   |    3 |   30 |     0 |     4 | 0x0203 | 000C9E | 0000/0000/00000000 | 
 1332 |   3 |   0 |     1 | 0x00   |    3 |   30 |     0 |     3 | 0x0203 | 000E3C | 0000/0000/00000000 | 
 1333 |   3 |   0 |     1 | 0x00   |    3 |   30 |     0 |     2 | 0x0203 | 000B94 | 0000/0000/00000000 | 
 1334 |   3 |   0 |     1 | 0x00   |    3 |   30 |     0 |     1 | 0x0203 | 0008EA | 0000/0000/00000000 | 
 1335 |   3 |   0 |     1 | 0x00   |    2 |   31 |     0 |     5 | 0x0203 | 0008E6 | 0000/0000/00000000 | 007C 3->2
 1336 |   3 |   0 |     1 | 0x00   |    2 |   31 |     0 |     4 | 0x0203 | 000B94 | 0000/0000/00000000 | 
 1337 |   3 |   0 |     1 | 0x00   |    2 |   31 |     0 |     3 | 0x0203 | 000904 | 0000/0000/00000000 | 
 1338 |   3 |   0 |     1 | 0x00   |    2 |   31 |     0 |     2 | 0x0203 | 000C0A | 0000/0000/00000000 | 
 1339 |   3 |   0 |     1 | 0x00   |    2 |   31 |     0 |     1 | 0x0203 | 0012BE | 0000/0000/00000000 | 
 1340 |   3 |   0 |     1 | 0x00   |    1 |   32 |     0 |     5 | 0x0203 | 000B7C | 0000/0000/00000000 | 007C 2->1
 1341 |   3 |   0 |     1 | 0x00   |    1 |   32 |     0 |     4 | 0x0203 | 000916 | 0000/0000/00000000 | 
 1342 |   3 |   0 |     1 | 0x00   |    1 |   32 |     0 |     3 | 0x0203 | 000C04 | 0000/0000/00000000 | 
 1343 |   3 |   0 |     1 | 0x00   |    1 |   32 |     0 |     2 | 0x0203 | 0012C6 | 0000/0000/00000000 | 
 1344 |   3 |   0 |     1 | 0x00   |    1 |   32 |     0 |     1 | 0x0203 | 000C18 | 0000/0000/00000000 | 
 1345 |   4 |   0 |     0 | 0x00   |    0 |   33 |     0 |     5 | 0x0203 | 000B8A | 0000/0000/00000000 | SCRIPT 3->4; READY 1->0; 007C 1->0
 1346 |   4 |   0 |     1 | 0x00   |    0 |   33 |     0 |     4 | 0x0203 | 00090E | 0000/0000/00000000 | READY 0->1
 1347 |   5 |   0 |     0 | 0x00   |    0 |   33 |     0 |     3 | 0x0203 | 000B84 | 0000/0000/00000000 | SCRIPT 4->5; READY 1->0

*** GAMEPLAY REACHED frame=1347 script=5 sub=0 ***

=== SUMMARY ===
Final: script=5 sub=0 ready=0 ppu_idx=0x00 007C=0 timer=3 trace=0x0203 crash=0000/0000/00000000
Total frames: 1347
Max stall: 488 frames at script=5 sub=0
Script=3 entered at frame 889, spent 456 frames inside
